school_district,state
"Mildred Independent School District, Texas",Texas
"Nordheim Independent School District, Texas",Texas
"San Antonio Independent School District, Texas",Texas
"Baird Independent School District, Texas",Texas
"Newcastle Independent School District, Texas",Texas
"Klein Independent School District, Texas",Texas
"New Deal Independent School District, Texas",Texas
"Oglesby Independent School District, Texas",Texas
"Morgan Mill Independent School District, Texas",Texas
"Ore City Independent School District, Texas",Texas
"Muenster Independent School District, Texas",Texas
"Lumberton Independent School District, Texas",Texas
"Bandera Independent School District, Texas",Texas
"Mission Consolidated Independent School District, Texas",Texas
"Melissa Independent School District, Texas",Texas
"Mabank Independent School District, Texas",Texas
"Miles Independent School District, Texas",Texas
"Krum Independent School District, Texas",Texas
"Midland Independent School District, Texas",Texas
"Ballinger Independent School District, Texas",Texas
"Marion Independent School District, Texas",Texas
"La Vernia Independent School District, Texas",Texas
"Wylie Independent School District (Collin County), Texas",Texas
"Monahans-Wickett-Pyote Independent School District, Texas",Texas
"Marlin Independent School District, Texas",Texas
"Granite School District, Utah",Utah
"Daggett School District, Utah",Utah
"North Sanpete School District, Utah",Utah
"Garfield School District, Utah",Utah
"Washington County School District, Utah",Utah
"Carbon School District, Utah",Utah
"North Summit School District, Utah",Utah
"Emery County School District, Utah",Utah
"Iron County School District, Utah",Utah
"Grand County School District, Utah",Utah
"San Juan School District, Utah",Utah
"Duchesne County School District, Utah",Utah
"Weber School District, Utah",Utah
"Alpine School District, Utah",Utah
"Beaver School District, Utah",Utah
"Box Elder School District, Utah",Utah
"Cache County School District, Utah",Utah
"Canyons School District, Utah",Utah
"Davis School District, Utah",Utah
"Juab School District, Utah",Utah
"Jordan School District, Utah",Utah
"Kane School District, Utah",Utah
"Logan School District, Utah",Utah
"Millard School District, Utah",Utah
"Morgan School District, Utah",Utah
"Murray School District, Utah",Utah
"Nebo School District, Utah",Utah
"Ogden School District, Utah",Utah
"Park City School District, Utah",Utah
"Rich School District, Utah",Utah
"Salt Lake City School District, Utah",Utah
"Sevier School District, Utah",Utah
"South Sanpete School District, Utah",Utah
"South Summit School District, Utah",Utah
"Tintic School District, Utah",Utah
"Tooele County School District, Utah",Utah
"Uintah School District, Utah",Utah
"Wayne County School District, Utah",Utah
"Provo City School District, Utah",Utah
"Piute School District, Utah",Utah
"Wasatch School District, Utah",Utah
"Shoreham School District, Vermont",Vermont
"Sheldon School District, Vermont",Vermont
"Peacham School District, Vermont",Vermont
"Green Mountain Union High School District 35, Vermont",Vermont
"Irasburg School District, Vermont",Vermont
"Wilmington School District, Vermont",Vermont
"Fair Haven School District, Vermont",Vermont
"Oxbow Union High School District 30, Vermont",Vermont
"Lake Region Union High School District 24, Vermont",Vermont
"Union High School District 32, Vermont",Vermont
"Addison School District, Vermont",Vermont
"Washington School District, Vermont",Vermont
"North Country Union High School District, Vermont",Vermont
"Essex Junction Id School District, Vermont",Vermont
"Royalton School District, Vermont",Vermont
"Mount Mansfield Unified Union School District 401, Vermont",Vermont
"Bridport School District, Vermont",Vermont
"Wolcott School District, Vermont",Vermont
"Richford School District, Vermont",Vermont
"North Country Union Junior High School District, Vermont",Vermont
"Bellows Falls Union High School District 27, Vermont",Vermont
"Waterville School District, Vermont",Vermont
"Isle La Motte School District, Vermont",Vermont
"Currier Memorial Union School District 23, Vermont",Vermont
"North Hero School District, Vermont",Vermont
"Newport City School District, Vermont",Vermont
"Lakeview Union School District 43, Vermont",Vermont
"Charlotte School District, Vermont",Vermont
"Black River Union School District 39, Vermont",Vermont
"Weathersfield School District, Vermont",Vermont
"Sharon School District, Vermont",Vermont
"Waterford School District, Vermont",Vermont
"New Haven School District, Vermont",Vermont
"Swanton School District, Vermont",Vermont
"Pomfret School District, Vermont",Vermont
"Reading School District, Vermont",Vermont
"Vernon School District, Vermont",Vermont
"Berlin School District, Vermont",Vermont
"Ferrisburg School District, Vermont",Vermont
"Rockingham School District, Vermont",Vermont
"Albany School District, Vermont",Vermont
"Alburg School District, Vermont",Vermont
"Arlington School District, Vermont",Vermont
"Bakersfield School District, Vermont",Vermont
"Barnet School District, Vermont",Vermont
"Barre City School District, Vermont",Vermont
"Barre Town School District, Vermont",Vermont
"Barton Incorporated School District, Vermont",Vermont
"Bennington Incorporated School District, Vermont",Vermont
"Benson School District, Vermont",Vermont
"Berkshire School District, Vermont",Vermont
"Bethel School District, Vermont",Vermont
"Blue Mountain Union School District 21, Vermont",Vermont
"Bradford Incorporated School District, Vermont",Vermont
"Braintree School District, Vermont",Vermont
"Brandon School District, Vermont",Vermont
"Brattleboro School District, Vermont",Vermont
"Brattleboro Union High School District 6, Vermont",Vermont
"Bridgewater School District, Vermont",Vermont
"Brighton School District, Vermont",Vermont
"Bristol School District, Vermont",Vermont
"Brookfield School District, Vermont",Vermont
"Brookline School District, Vermont",Vermont
"Brownington School District, Vermont",Vermont
"Burke School District, Vermont",Vermont
"Burlington School District, Vermont",Vermont
"Cabot School District, Vermont",Vermont
"Calais School District, Vermont",Vermont
"Cambridge School District, Vermont",Vermont
"Canaan School District, Vermont",Vermont
"Castleton-Hubbardton Union School District 42, Vermont",Vermont
"Cavendish School District, Vermont",Vermont
"Champlain Valley Union High School District 15, Vermont",Vermont
"Charleston School District, Vermont",Vermont
"Chelsea School District, Vermont",Vermont
"Chester-Andover Union School District 29, Vermont",Vermont
"Chittenden East Supervisory Union, Vermont",Vermont
"Chittenden South Supervisory Union, Vermont",Vermont
"Clarendon School District, Vermont",Vermont
"Colchester School District, Vermont",Vermont
"Concord School District, Vermont",Vermont
"Cornwall School District, Vermont",Vermont
"Coventry School District, Vermont",Vermont
"Craftsbury School District, Vermont",Vermont
"Danville School District, Vermont",Vermont
"Derby School District, Vermont",Vermont
"Dorset School District, Vermont",Vermont
"Dover School District, Vermont",Vermont
"Dummerston School District, Vermont",Vermont
"Duxbury/Waterbury Union 45, Vermont",Vermont
"East Haven School District, Vermont",Vermont
"East Montpelier School District, Vermont",Vermont
"Eden School District, Vermont",Vermont
"Elmore School District, Vermont",Vermont
"Essex Town School District, Vermont",Vermont
"Fair Haven Union High School District 16, Vermont",Vermont
"Fairfax School District, Vermont",Vermont
"Fairfield School District, Vermont",Vermont
"Flood Brook Unified School District 20, Vermont",Vermont
"Franklin School District, Vermont",Vermont
"Glover School District, Vermont",Vermont
"Granby School District, Vermont",Vermont
"Grand Isle School District, Vermont",Vermont
"Guildhall School District, Vermont",Vermont
"Halifax School District, Vermont",Vermont
"Hartford School District, Vermont",Vermont
"Hartland School District, Vermont",Vermont
"Harwood Union High School District 19, Vermont",Vermont
"Hazen Union High School District 26, Vermont",Vermont
"Highgate School District, Vermont",Vermont
"Hinesburg School District, Vermont",Vermont
"Holland School District, Vermont",Vermont
"Hyde Park School District, Vermont",Vermont
"Jamaica School District, Vermont",Vermont
"Jay/Westfield Joint Elementary School District, Vermont",Vermont
"Johnson School District, Vermont",Vermont
"Lamoille Union High School District 18, Vermont",Vermont
"Leicester School District, Vermont",Vermont
"Leland and Gray Union High School District 34, Vermont",Vermont
"Lincoln School District, Vermont",Vermont
"St. Johnsbury School District, Vermont",Vermont
"Lowell School District, Vermont",Vermont
"Ludlow School District, Vermont",Vermont
"Lunenburg School District, Vermont",Vermont
"Lyndon School District, Vermont",Vermont
"Manchester School District, Vermont",Vermont
"Marlboro School District, Vermont",Vermont
"Mettawee School District, Vermont",Vermont
"Middlebury Id School District, Vermont",Vermont
"Middlesex School District, Vermont",Vermont
"Middletown Springs School District, Vermont",Vermont
"Mill River Union School District 40, Vermont",Vermont
"Millers Run Union School District 37, Vermont",Vermont
"Missisquoi Valley Union High School District 7, Vermont",Vermont
"Monkton School District, Vermont",Vermont
"Montgomery School District, Vermont",Vermont
"Montpelier School District, Vermont",Vermont
"Moretown School District, Vermont",Vermont
"Morgan School District, Vermont",Vermont
"Morristown School District, Vermont",Vermont
"Mount Abraham Union High School District 28, Vermont",Vermont
"Mount Anthony Union High School District 14, Vermont",Vermont
"Newark School District, Vermont",Vermont
"Newfane School District, Vermont",Vermont
